Time,RSSI
2026-4-15 15:42:04.356,-71.099998474121094
2026-4-15 15:42:04.358,-71
2026-4-15 15:42:04.360,-71.099998474121094
2026-4-15 15:42:04.399,-71.099998474121094
2026-4-15 15:42:04.403,-71.099998474121094
2026-4-15 15:42:04.406,-71
2026-4-15 15:42:04.408,-71
2026-4-15 15:42:04.412,-71
2026-4-15 15:42:04.423,-71
2026-4-15 15:42:04.432,-71.099998474121094
2026-4-15 15:42:04.441,-71.099998474121094
2026-4-15 15:42:04.452,-71.099998474121094
2026-4-15 15:42:04.464,-71
2026-4-15 15:42:04.474,-71
2026-4-15 15:42:04.483,-71.099998474121094
2026-4-15 15:42:04.493,-71
2026-4-15 15:42:04.504,-71
2026-4-15 15:42:04.513,-71
2026-4-15 15:42:04.528,-70.900001525878906
2026-4-15 15:42:04.533,-71
2026-4-15 15:42:04.545,-71
2026-4-15 15:42:04.555,-71
2026-4-15 15:42:04.564,-71
2026-4-15 15:42:04.574,-71.099998474121094
2026-4-15 15:42:04.584,-71
2026-4-15 15:42:04.595,-71
2026-4-15 15:42:04.604,-71
2026-4-15 15:42:04.616,-71.099998474121094
2026-4-15 15:42:04.626,-71
2026-4-15 15:42:04.637,-71
2026-4-15 15:42:04.644,-70.900001525878906
2026-4-15 15:42:04.656,-70.900001525878906
2026-4-15 15:42:04.666,-71
2026-4-15 15:42:04.678,-71
2026-4-15 15:42:04.687,-70.900001525878906
2026-4-15 15:42:04.697,-71
2026-4-15 15:42:04.708,-71
2026-4-15 15:42:04.717,-71
2026-4-15 15:42:04.726,-70.900001525878906
2026-4-15 15:42:04.737,-71
2026-4-15 15:42:04.749,-71
2026-4-15 15:42:04.757,-71.099998474121094
2026-4-15 15:42:04.771,-71
2026-4-15 15:42:04.777,-71.099998474121094
2026-4-15 15:42:04.789,-71
2026-4-15 15:42:04.799,-71.099998474121094
2026-4-15 15:42:04.808,-71
2026-4-15 15:42:04.819,-71.099998474121094
2026-4-15 15:42:04.829,-71.099998474121094
2026-4-15 15:42:04.840,-71.099998474121094
2026-4-15 15:42:04.849,-71
2026-4-15 15:42:04.859,-71.199996948242188
2026-4-15 15:42:04.870,-71.099998474121094
2026-4-15 15:42:04.879,-71.199996948242188
2026-4-15 15:42:04.890,-71.099998474121094
2026-4-15 15:42:04.900,-71.199996948242188
2026-4-15 15:42:04.911,-71.099998474121094
2026-4-15 15:42:04.921,-71.099998474121094
2026-4-15 15:42:04.930,-71
2026-4-15 15:42:04.940,-71.099998474121094
2026-4-15 15:42:04.955,-71
2026-4-15 15:42:04.962,-71
2026-4-15 15:42:04.973,-71.099998474121094
2026-4-15 15:42:04.981,-71
2026-4-15 15:42:04.992,-71
2026-4-15 15:42:05.002,-71
2026-4-15 15:42:05.012,-71
